# T(K)  Delta_U_el(J/mol)  Cv_el(J/mol/K)
2.225000000000000000e+03 1.128535218028323470e+03 1.183921091982306217e+00
2.250000000000000000e+03 1.158417805235941387e+03 1.206731737876430177e+00
2.275000000000000000e+03 1.188874085051707880e+03 1.229815999318102371e+00
2.300000000000000000e+03 1.219910859995767169e+03 1.253170836030249147e+00
2.325000000000000000e+03 1.251534856115165894e+03 1.276793184175853746e+00
2.350000000000000000e+03 1.283752722706146187e+03 1.300679952511818449e+00
2.375000000000000000e+03 1.316571031074004168e+03 1.324828000837469544e+00
2.400000000000000000e+03 1.349996273624070682e+03 1.349234154289265408e+00
2.425000000000000000e+03 1.384034862826067638e+03 1.373895192253066888e+00
2.450000000000000000e+03 1.418693130027032794e+03 1.398807845053943399e+00
2.475000000000000000e+03 1.453977324184045074e+03 1.423968790488484126e+00
2.500000000000000000e+03 1.489893610502774891e+03 1.449374650081135751e+00
2.525000000000000000e+03 1.526448068988030400e+03 1.475021985665221136e+00
2.550000000000000000e+03 1.563646692910459706e+03 1.500907296180121087e+00
2.575000000000000000e+03 1.601495387197444643e+03 1.527027014743998823e+00
2.600000000000000000e+03 1.639999966753841591e+03 1.553377506049701040e+00
2.625000000000000000e+03 1.679166154722834335e+03 1.579955064103946816e+00
2.650000000000000000e+03 1.718999580693331609e+03 1.606755910273363952e+00
2.675000000000000000e+03 1.759505778864104059e+03 1.633776191754964247e+00
2.700000000000000000e+03 1.800690186173587335e+03 1.661011980337443683e+00
2.725000000000000000e+03 1.842558140403115203e+03 1.688459271576602916e+00
2.750000000000000000e+03 1.885114878265027528e+03 1.716113984328958342e+00
2.775000000000000000e+03 1.928365533482080991e+03 1.743971960583471592e+00
2.800000000000000000e+03 1.972315134868766108e+03 1.772028965785816590e+00
2.825000000000000000e+03 2.016968604422108001e+03 1.800280689076512397e+00
2.850000000000000000e+03 2.062330755429971759e+03 1.828722745252789661e+00
2.875000000000000000e+03 2.108406290606146285e+03 1.857350671996900848e+00
2.900000000000000000e+03 2.155199800257084007e+03 1.886159946013021838e+00
2.925000000000000000e+03 2.202715760490346838e+03 1.915145930055177637e+00
2.950000000000000000e+03 2.250958531468513684e+03 1.944304079137964436e+00
2.975000000000000000e+03 2.299932355716751772e+03 1.973629180561481622e+00
3.000000000000000000e+03 2.349641356488609745e+03 2.003118201027582312e+00
